Area (sq ft)	Number of Bedrooms	House Price
1360	2	45.34
1794	1	62.8
1630	5	96.51
1595	3	92.12
2138	4	106.69
2669	3	86.23
966	3	86.68
1738	1	87.17
830	3	34.57
1982	5	93.48
2635	3	127.85
630	1	23.74
2185	5	128.01
1269	2	43.68
2891	3	113.46
2015	1	30.77
2933	2	126.81
1715	2	111.38
1455	4	54.47
2824	5	158.64
1684	3	81.96
959	1	14.71
521	4	45.36
2800	5	165.53
1247	4	67.1
974	5	93.93
1582	5	52.36
2547	3	139.62
1475	5	44.54
2306	4	81.7
689	5	20.3
1062	3	57.14
2399	3	120.16
1767	4	84.5
2028	2	69.9
1146	2	37.6
2568	5	72.7
2714	1	74.3
1797	5	116.91
2935	4	148.82
1100	4	53.63
2863	4	131.04
2561	4	112.42
741	4	78.01
2541	3	122.55
1863	2	108.14
2639	4	121.1
1890	1	70.32
1978	1	101.64
1275	1	41.67
534	1	-30.65
2753	3	151.06
2455	1	92.25
2085	4	131.28
1521	5	91.59
1629	1	55.47
2000	3	85.39
1202	3	33.33
2949	1	138.72
2079	5	105.9
661	1	34.95
701	3	3.56
2481	2	93.61
1495	4	86.44
2817	3	145.69
1315	1	71.4
955	4	40.59
1775	1	73.38
1516	1	54.21
2843	2	155.29
837	4	41.28
1378	4	65.5
1576	2	16.25
1291	3	3.14
2764	1	112.62
1263	5	90.99
2735	1	144.81
879	1	5.36
992	3	30.84
1680	1	73.83
2562	2	106.34
564	2	26.42
1867	4	73.29
1652	5	96.18
2527	1	111.37
1995	1	82.23
1662	3	63.48
2022	2	68.84
891	5	83
2198	4	142.4
918	2	-9.94
2836	4	126.46
878	3	57.8
2296	3	79.47
2778	1	122.51
2588	5	131.34
2682	4	104.12
700	2	17.62
2363	3	65.75
1279	1	80.76
